rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_of_Indian_Ocean_and_Le_Morne_Brabant__Riviere_Noire_District__Mauritius_horiz.jpg,Aerial_view_of_Indian_Ocean_and_Le_Morne_Brabant__Riviere_Noire_District__Mauritius_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_karst_mountains_on_the_Li_River__Guilin__Guangxi__China_horiz.jpg,Aerial_view_of_karst_mountains_on_the_Li_River__Guilin__Guangxi__China_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Kualoa_ridge_with_sea_in_distance__Oahu__Hawaii__USA_horiz.jpg,Aerial_view_of_Kualoa_ridge_with_sea_in_distance__Oahu__Hawaii__USA_horiz.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_view_of_Lake_Slano_in_National_park_Tela__ica__Dugi_Otok__Croatia_horiz.jpg,Aerial_view_of_Lake_Slano_in_National_park_Tela__ica__Dugi_Otok__Croatia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_landscape_around_Sk_gafoss_waterfall_on_Sk_g__River_in_south_Iceland_horiz.jpg,Aerial_view_of_landscape_around_Sk_gafoss_waterfall_on_Sk_g__River_in_south_Iceland_horiz.jpg,afternoon,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
afternoon\Aerial_view_of_Lujiazui_financial_district__Shanghai__China_vert.jpg,Aerial_view_of_Lujiazui_financial_district__Shanghai__China_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_mangrove_forest_and_river_on_the_Siargao_island__Philippines_vert.jpg,Aerial_view_of_mangrove_forest_and_river_on_the_Siargao_island__Philippines_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Marlborough_Sounds__South_Island_of_New_Zealand_horiz.jpg,Aerial_view_of_Marlborough_Sounds__South_Island_of_New_Zealand_horiz.jpg,afternoon,,,,New Zealand,new zealand,country,-40.9006,174.886,OC,gazetteer,med
afternoon\Aerial_view_of_Mauritius_island_panorama_and_famous_Le_Morne_Brabant_mountain_vert.jpg,Aerial_view_of_Mauritius_island_panorama_and_famous_Le_Morne_Brabant_mountain_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Mingzhu_roundabout_and_sky_pathway__Pudong__Shanghai__China_horiz.jpg,Aerial_view_of_Mingzhu_roundabout_and_sky_pathway__Pudong__Shanghai__China_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_mountains_and_coastline__Kalalau_Valley__Kauai__Hawaii__USA_horiz.jpg,Aerial_view_of_mountains_and_coastline__Kalalau_Valley__Kauai__Hawaii__USA_horiz.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_view_of_multicolored_autumn__Chifeng__Inner_Mongolia__China_vert.jpg,Aerial_view_of_multicolored_autumn__Chifeng__Inner_Mongolia__China_vert.jpg,afternoon,,,,,,,,,,,
