rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
evening\Sunset_over_the_landscape_of_Badlands_National_Park__South_Dakota__USA_vert.jpg,Sunset_over_the_landscape_of_Badlands_National_Park__South_Dakota__USA_vert.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Sunset_over_the_ocean_at_Marble_Beach__Namaqua_National_Park__South_Africa_horiz.jpg,Sunset_over_the_ocean_at_Marble_Beach__Namaqua_National_Park__South_Africa_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_old_city_of_Cartagena__Colombia_vert.jpg,Sunset_over_the_old_city_of_Cartagena__Colombia_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_river_with_reflection__Ambhora__Nagpur__India_vert.jpg,Sunset_over_the_river_with_reflection__Ambhora__Nagpur__India_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_rocky_coastline_of_Tsitsikamma__Garden_Route_National_Park__South_Africa_vert.jpg,Sunset_over_the_rocky_coastline_of_Tsitsikamma__Garden_Route_National_Park__South_Africa_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_rolling_hills__Moscow__Idaho__USA_vert.jpg,Sunset_over_the_rolling_hills__Moscow__Idaho__USA_vert.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Sunset_over_the_sea_cliff_bridge_along_Australian_Pacific_ocean_coast_near_Sydney__Australia_vert.jpg,Sunset_over_the_sea_cliff_bridge_along_Australian_Pacific_ocean_coast_near_Sydney__Australia_vert.jpg,evening,,Sydney,,Australia,sydney,city,-33.8688,151.2093,OC,gazetteer,high
evening\Sunset_over_the_sea_on_a_Caribbean_island_of_Barbados__view_at_palms_on_the_white_beach_vert.jpg,Sunset_over_the_sea_on_a_Caribbean_island_of_Barbados__view_at_palms_on_the_white_beach_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_village_of_Varenna_on_shore_of_Lake_Como__Lecco_province__Lombardy__Italy_vert.jpg,Sunset_over_the_village_of_Varenna_on_shore_of_Lake_Como__Lecco_province__Lombardy__Italy_vert.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Sunset_over_the_vineyards__Bergerac__Dordogne__Aquitaine__South_of_France_vert.jpg,Sunset_over_the_vineyards__Bergerac__Dordogne__Aquitaine__South_of_France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Sunset_over_the_vivid_sand_dunes_in_the_deserts_of_Dubai__UAE_horiz.jpg,Sunset_over_the_vivid_sand_dunes_in_the_deserts_of_Dubai__UAE_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_over_the_western_part_of_The_Sahara_Desert_in_Egypt_horiz.jpg,Sunset_over_the_western_part_of_The_Sahara_Desert_in_Egypt_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_over_trees_on_Wimbledon_Hill__London_SW19__England__UK_vert.jpg,Sunset_over_trees_on_Wimbledon_Hill__London_SW19__England__UK_vert.jpg,evening,,London,,,london,city,51.5074,-0.1278,EU,gazetteer,high
evening\Sunset_over_Venice_Beach_skatepark__California__USA_vert.jpg,Sunset_over_Venice_Beach_skatepark__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Sunset_over_water__Balaton_lake__Hungary_horiz.jpg,Sunset_over_water__Balaton_lake__Hungary_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_over_water__pier_at_Balaton_lake__Hungary_horiz.jpg,Sunset_over_water__pier_at_Balaton_lake__Hungary_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_over_Zakimi_Castle__Yomitan__Okinawa__Japan_horiz.jpg,Sunset_over_Zakimi_Castle__Yomitan__Okinawa__Japan_horiz.jpg,evening,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
evening\Sunset_over__quot_La_Conciergerie_quot__at_Seine_river_in_Paris__France_horiz.jpg,Sunset_over__quot_La_Conciergerie_quot__at_Seine_river_in_Paris__France_horiz.jpg,evening,,Paris,,France,paris,city,48.8566,2.3522,EU,gazetteer,high
evening\Sunset_reflections_at_Milford_Sound__Fiordland_National_Park__New_Zealand__8217_s_South_Island_horiz.jpg,Sunset_reflections_at_Milford_Sound__Fiordland_National_Park__New_Zealand__8217_s_South_Island_horiz.jpg,evening,,,,New Zealand,new zealand,country,-40.9006,174.886,OC,gazetteer,med
evening\Sunset_scene_of_Ad_Deir_or_El_Deir__the_monument_carved_out_of_rock__Petra__Jordan_vert.jpg,Sunset_scene_of_Ad_Deir_or_El_Deir__the_monument_carved_out_of_rock__Petra__Jordan_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_Seat_Torrey_Pines_State_Beach__San_Diego__California__USA_vert.jpg,Sunset_Seat_Torrey_Pines_State_Beach__San_Diego__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Sunset_sky_over_a_soybean_farm_field__Murfreesboro__Tennessee__USA_horiz.jpg,Sunset_sky_over_a_soybean_farm_field__Murfreesboro__Tennessee__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Sunset_sky_reflected_in_still_rural_lake__Telluride__Colorado__USA_horiz.jpg,Sunset_sky_reflected_in_still_rural_lake__Telluride__Colorado__USA_horiz.jpg,evening,,,Colorado,USA,colorado,state,39.5501,-105.7821,NA,gazetteer,med
evening\Sunset_stilt_fishing_in_Weligama_Bay__Sri_Lanka_horiz.jpg,Sunset_stilt_fishing_in_Weligama_Bay__Sri_Lanka_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_thunderstorm_clouds_over_desert__Gila_Bend__Arizona__USA_horiz.jpg,Sunset_thunderstorm_clouds_over_desert__Gila_Bend__Arizona__USA_horiz.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Sunset_twilight_at_the_reservoir_with_pavilion__Bueng_Si_Fai__Phichit__Thailand_vert.jpg,Sunset_twilight_at_the_reservoir_with_pavilion__Bueng_Si_Fai__Phichit__Thailand_vert.jpg,evening,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
evening\Sunset_view_and_landscape_of_Playa_Espadilla_Beach__Manuel_Antonio_National_Park__Costa_Rica_horiz.jpg,Sunset_view_and_landscape_of_Playa_Espadilla_Beach__Manuel_Antonio_National_Park__Costa_Rica_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_view_at_coast_of_Twelve_Apostles_by_Great_Ocean_Road__Port_Campbell_National_Park__Australia_vert.jpg,Sunset_view_at_coast_of_Twelve_Apostles_by_Great_Ocean_Road__Port_Campbell_National_Park__Australia_vert.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Sunset_view_from_Eggardon_Hill_over_the_green_hills_countryside_in_England__Dorset__UK_horiz.jpg,Sunset_view_from_Eggardon_Hill_over_the_green_hills_countryside_in_England__Dorset__UK_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_view_from_hydrangea_hills__Matsuzaki__Shizuoka__Japan_horiz.jpg,Sunset_view_from_hydrangea_hills__Matsuzaki__Shizuoka__Japan_horiz.jpg,evening,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
evening\Sunset_view_of_Eilean_Donan_Castle__Highlands__Scotland__UK_horiz.jpg,Sunset_view_of_Eilean_Donan_Castle__Highlands__Scotland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_view_of_Li_River__Yangshuo__Guangxi__China_horiz.jpg,Sunset_view_of_Li_River__Yangshuo__Guangxi__China_horiz.jpg,evening,,,,,,,,,,,
evening\Sunset_view_of_Nugget_Point_and_The_Nuggets__Catlins_area__Otago_region__New_Zealand_horiz.jpg,Sunset_view_of_Nugget_Point_and_The_Nuggets__Catlins_area__Otago_region__New_Zealand_horiz.jpg,evening,,,,New Zealand,new zealand,country,-40.9006,174.886,OC,gazetteer,med
evening\Sunset_view_of_the_Mont_Otemanu_mountain_in_Bora_Bora__French_Polynesia_vert.jpg,Sunset_view_of_the_Mont_Otemanu_mountain_in_Bora_Bora__French_Polynesia_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_with_acacia_trees_in_Masai_Mara__Kenya_vert.jpg,Sunset_with_acacia_trees_in_Masai_Mara__Kenya_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_with_arch_rock_formations_in_desert__Ha_il_region__Saudi_Arabia_vert.jpg,Sunset_with_arch_rock_formations_in_desert__Ha_il_region__Saudi_Arabia_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_with_blooming_daffodils__narcissus__in_Skagit_Valley__Washington__USA_vert.jpg,Sunset_with_blooming_daffodils__narcissus__in_Skagit_Valley__Washington__USA_vert.jpg,evening,,,Washington,USA,washington,state,47.7511,-120.7401,NA,gazetteer,med
evening\Sunset_with_Cerro_Torre_mountain__Los_Glaciares_national_park__Patagonia__Argentina_vert.jpg,Sunset_with_Cerro_Torre_mountain__Los_Glaciares_national_park__Patagonia__Argentina_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_with_dead_tree__Phuket__Thailand_horiz.jpg,Sunset_with_dead_tree__Phuket__Thailand_horiz.jpg,evening,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
evening\Sunset_with_view_of_mountain_layers_at_Sidingshan__Chiayi__Taiwan_vert.jpg,Sunset_with_view_of_mountain_layers_at_Sidingshan__Chiayi__Taiwan_vert.jpg,evening,,,,,,,,,,,
evening\Sunset_with_white_and_magenta_clouds__blue_mountains_and_flock_of_birds__Southern_Brazil_horiz.jpg,Sunset_with_white_and_magenta_clouds__blue_mountains_and_flock_of_birds__Southern_Brazil_horiz.jpg,evening,,,,,,,,,,,
evening\Sun_beams_through_clouds__summer_sunset_at_Kotor__039_s_bay__Montenegro_horiz.jpg,Sun_beams_through_clouds__summer_sunset_at_Kotor__039_s_bay__Montenegro_horiz.jpg,evening,,,,,,,,,,,
evening\Supertree_Grove_in_Gardens_by_the_Bay_at_night__Singapore_horiz.jpg,Supertree_Grove_in_Gardens_by_the_Bay_at_night__Singapore_horiz.jpg,evening,,,,,,,,,,,
evening\Surfer_at_sunset_by_the_sea__Playa_de_las_Am_ricas__Tenerife__Canary_Islands__Spain_horiz.jpg,Surfer_at_sunset_by_the_sea__Playa_de_las_Am_ricas__Tenerife__Canary_Islands__Spain_horiz.jpg,evening,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
evening\Surfer_at__quot_La_Barra_quot__beach_at_sunset__Punta_del_Este__Maldonado__Uruguay_horiz.jpg,Surfer_at__quot_La_Barra_quot__beach_at_sunset__Punta_del_Este__Maldonado__Uruguay_horiz.jpg,evening,,,,,,,,,,,
evening\Swans_in_the_sea_and_beautiful_sunset__Varna__Bulgaria_vert.jpg,Swans_in_the_sea_and_beautiful_sunset__Varna__Bulgaria_vert.jpg,evening,,,,,,,,,,,
evening\Swan_in_the_water_of_a_dramatic_sunset_in_Lake_Eola__Orlando__Florida__USA_horiz.jpg,Swan_in_the_water_of_a_dramatic_sunset_in_Lake_Eola__Orlando__Florida__USA_horiz.jpg,evening,,,Florida,USA,florida,state,27.6648,-81.5158,NA,gazetteer,med
evening\Swing_paraglider_at_sunset_in_Timbis__Bali__Indonesia_vert.jpg,Swing_paraglider_at_sunset_in_Timbis__Bali__Indonesia_vert.jpg,evening,,,,,,,,,,,
evening\Table_Mountain_at_sunset_with_spring_flowers_along_the_coastline__South_Africa_vert.jpg,Table_Mountain_at_sunset_with_spring_flowers_along_the_coastline__South_Africa_vert.jpg,evening,,,,,,,,,,,
evening\Taj_Mahal_with_sunset_behind_it__Agra__Uttar_Pradesh__India_vert.jpg,Taj_Mahal_with_sunset_behind_it__Agra__Uttar_Pradesh__India_vert.jpg,evening,,,,,,,,,,,
evening\Tanjung_Papuma_at_sunset_in_Jember_Regency_of_East_Java__Indonesia_horiz.jpg,Tanjung_Papuma_at_sunset_in_Jember_Regency_of_East_Java__Indonesia_horiz.jpg,evening,,,,,,,,,,,
evening\Tea_plantations_under_sky_during_sunset__China_vert.jpg,Tea_plantations_under_sky_during_sunset__China_vert.jpg,evening,,,,,,,,,,,
evening\Tent_under_the_night_sky_in_snow_covered_Lapland_near_Nallo__Sweden_horiz.jpg,Tent_under_the_night_sky_in_snow_covered_Lapland_near_Nallo__Sweden_horiz.jpg,evening,,,,,,,,,,,
evening\The_Acropolis_in_Athens_during_sunset__Greece_horiz.jpg,The_Acropolis_in_Athens_during_sunset__Greece_horiz.jpg,evening,,Athens,,Greece,athens,city,37.9838,23.7275,EU,gazetteer,high
evening\The_Bass_Harbor_Head_Lighthouse_at_sunset__Acadia_National_Park__Maine__USA_horiz.jpg,The_Bass_Harbor_Head_Lighthouse_at_sunset__Acadia_National_Park__Maine__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\The_bay_of_Baltic_sea_at_sunset__Lahemaa_rahvuspark__Kuusalu_Parish__Estonia_vert.jpg,The_bay_of_Baltic_sea_at_sunset__Lahemaa_rahvuspark__Kuusalu_Parish__Estonia_vert.jpg,evening,,,,,,,,,,,
evening\The_Brandenburg_Gate_illumination_at_night__Berlin__Germany_horiz.jpg,The_Brandenburg_Gate_illumination_at_night__Berlin__Germany_horiz.jpg,evening,,,,,,,,,,,
evening\The_breathtaking_view_of_Ringedalsvalley_at_sunset__Ringedalsvatnet_lake__Hordaland__Norway_horiz.jpg,The_breathtaking_view_of_Ringedalsvalley_at_sunset__Ringedalsvatnet_lake__Hordaland__Norway_horiz.jpg,evening,,,,Norway,norway,country,60.472,8.4689,EU,gazetteer,med
evening\The_coastline__bays_and_cliffs_on_Cape_Agulhas_near_Arniston_at_sunset__South_Africa_horiz.jpg,The_coastline__bays_and_cliffs_on_Cape_Agulhas_near_Arniston_at_sunset__South_Africa_horiz.jpg,evening,,,,,,,,,,,
evening\The_Colosseum_or_Roman_Coliseum_at_dusk__Rome__Italy_vert.jpg,The_Colosseum_or_Roman_Coliseum_at_dusk__Rome__Italy_vert.jpg,evening,,Rome,,Italy,rome,city,41.9028,12.4964,EU,gazetteer,high
evening\The_devil_island_Alcatraz_in_San_Francisco_Bay_at_sunset__California__USA_vert.jpg,The_devil_island_Alcatraz_in_San_Francisco_Bay_at_sunset__California__USA_vert.jpg,evening,,San Francisco,California,USA,san francisco,city,37.7749,-122.4194,NA,gazetteer,high
evening\The_famous_Popeye_Village_in_Anchor_Bay_at_sunset_with_clouds__il_Mellie_a__Malta_horiz.jpg,The_famous_Popeye_Village_in_Anchor_Bay_at_sunset_with_clouds__il_Mellie_a__Malta_horiz.jpg,evening,,,,,,,,,,,
evening\The_Folly_at_Mow_Cop_castle_with_incredible_sunset__Odd_Rode__Cheshire__England__UK_horiz.jpg,The_Folly_at_Mow_Cop_castle_with_incredible_sunset__Odd_Rode__Cheshire__England__UK_horiz.jpg,evening,,,,,,,,,,,
evening\The_Giant_s_Causeway_in_Co_Antrim_after_sunset__Northern_Ireland__UK_horiz.jpg,The_Giant_s_Causeway_in_Co_Antrim_after_sunset__Northern_Ireland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\The_Giant__8217_s_Causeway_at_sunset__County_Antrim__Ulster_region__Northern_Ireland__UK_horiz.jpg,The_Giant__8217_s_Causeway_at_sunset__County_Antrim__Ulster_region__Northern_Ireland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\The_Inca_Bridge__Puente_del_Inca__at_sunset__Central_Andes__Mendoza_Province__Argentina_horiz.jpg,The_Inca_Bridge__Puente_del_Inca__at_sunset__Central_Andes__Mendoza_Province__Argentina_horiz.jpg,evening,,,,,,,,,,,
evening\The_Kintaikyo_Bridge_over_Nishiki_River_at_dusk__Iwakuni__Yamaguchi__Japan_vert.jpg,The_Kintaikyo_Bridge_over_Nishiki_River_at_dusk__Iwakuni__Yamaguchi__Japan_vert.jpg,evening,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
evening\The_lake_reflects_the_forest_and_the_blue_sky_in_Chamonix_City_Park_at_sunset__France_vert.jpg,The_lake_reflects_the_forest_and_the_blue_sky_in_Chamonix_City_Park_at_sunset__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\The_medieval_castle_Castello_di_Domofole_at_sunset__Mello__Lower_Valtellina__Lombardy__Italy_horiz.jpg,The_medieval_castle_Castello_di_Domofole_at_sunset__Mello__Lower_Valtellina__Lombardy__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\The_Mittens_at_sunset__Navajo_Tribal_Park__Monument_Valley__Arizona__USA_vert.jpg,The_Mittens_at_sunset__Navajo_Tribal_Park__Monument_Valley__Arizona__USA_vert.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\The_most_photographed_location_in_Bruges_during_sunset__Belgium_vert.jpg,The_most_photographed_location_in_Bruges_during_sunset__Belgium_vert.jpg,evening,,,,,,,,,,,
evening\The_Night_is_Still_Young__Kampung_Chui_Chak__Langkap__Perak__Malaysia_horiz.jpg,The_Night_is_Still_Young__Kampung_Chui_Chak__Langkap__Perak__Malaysia_horiz.jpg,evening,,,,,,,,,,,
evening\The_Nut_rock_formation_at_dusk__Stanley__Tasmania__Australia_horiz.jpg,The_Nut_rock_formation_at_dusk__Stanley__Tasmania__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\The_Old_Man_of_Hoy_in_evening_light__Orkney_Islands__Scotland__UK_horiz.jpg,The_Old_Man_of_Hoy_in_evening_light__Orkney_Islands__Scotland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\The_Oslo_Opera_House_at_night__the_national_opera_and_ballet_theater_in_Norway_horiz.jpg,The_Oslo_Opera_House_at_night__the_national_opera_and_ballet_theater_in_Norway_horiz.jpg,evening,,,,Norway,norway,country,60.472,8.4689,EU,gazetteer,med
evening\The_pinnacle_rock_of_Phillip_island_at_sunset__Australia_horiz.jpg,The_pinnacle_rock_of_Phillip_island_at_sunset__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\The_quiet_fire__boat_on_water_at_sunset__Puerto_Princesa__Philippines_horiz.jpg,The_quiet_fire__boat_on_water_at_sunset__Puerto_Princesa__Philippines_horiz.jpg,evening,,,,,,,,,,,
evening\The_Salk_Institute_for_Biological_Studies_at_sunset__La_Jolla__San_Diego__California__USA_vert.jpg,The_Salk_Institute_for_Biological_Studies_at_sunset__La_Jolla__San_Diego__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\The_Serpentine_Bridge_in_Hyde_Park_at_sunset__London__England__UK_vert.jpg,The_Serpentine_Bridge_in_Hyde_Park_at_sunset__London__England__UK_vert.jpg,evening,,London,,,london,city,51.5074,-0.1278,EU,gazetteer,high
evening\The_sky_lights_up_at_sunset_over_Shoshone_Falls__on_the_Snake_River__Idaho__USA_horiz.jpg,The_sky_lights_up_at_sunset_over_Shoshone_Falls__on_the_Snake_River__Idaho__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\The_Slieve_League_Cliffs_at_sunset__Donegal__Ireland_horiz.jpg,The_Slieve_League_Cliffs_at_sunset__Donegal__Ireland_horiz.jpg,evening,,,,,,,,,,,
evening\The_sunset_sun__Lafayette_hotel__Beijing__China_horiz.jpg,The_sunset_sun__Lafayette_hotel__Beijing__China_horiz.jpg,evening,,,,,,,,,,,
evening\The_sunset_view_of_Paris_with_the_Eiffel_tower_from_Montparnasse_in_autumn__France_vert.jpg,The_sunset_view_of_Paris_with_the_Eiffel_tower_from_Montparnasse_in_autumn__France_vert.jpg,evening,,Paris,,France,paris,city,48.8566,2.3522,EU,gazetteer,high
evening\The_Temple_of_the_Moon_in_Cathedral_Valley_at_night__Capitol_Reef_National_Park__Utah__USA_vert.jpg,The_Temple_of_the_Moon_in_Cathedral_Valley_at_night__Capitol_Reef_National_Park__Utah__USA_vert.jpg,evening,,,Utah,USA,utah,state,39.321,-111.0937,NA,gazetteer,med
evening\The_Vancouver_harbor_view_from_the_Granville_Street_Bridge_at_sunset__British_Columbia__Canada_horiz.jpg,The_Vancouver_harbor_view_from_the_Granville_Street_Bridge_at_sunset__British_Columbia__Canada_horiz.jpg,evening,,,,,,,,,,,
evening\The_wavy_singing_sand_dunes_in_Al_Kharrara_in_Qatar_captured_during_sunset_horiz.jpg,The_wavy_singing_sand_dunes_in_Al_Kharrara_in_Qatar_captured_during_sunset_horiz.jpg,evening,,,,,,,,,,,
evening\Three_Peaks_of_Lavaredo_at_summer_sunset__Dolomites__South_Tyrol__Italy_horiz.jpg,Three_Peaks_of_Lavaredo_at_summer_sunset__Dolomites__South_Tyrol__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Three_satellite_dishes_over_sunset_horiz.jpg,Three_satellite_dishes_over_sunset_horiz.jpg,evening,,,,,,,,,,,
evening\Tidal_pool_on_sandy_beach_at_sunset__Tenerife__Canary_Islands__Spain_vert.jpg,Tidal_pool_on_sandy_beach_at_sunset__Tenerife__Canary_Islands__Spain_vert.jpg,evening,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
evening\Top_of_Gran_Sasso_mountain_at_sunset__Calascio__L__039_Aquila_district__Abruzzo__Italy_horiz.jpg,Top_of_Gran_Sasso_mountain_at_sunset__Calascio__L__039_Aquila_district__Abruzzo__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Toronto_cityscape_with_baseball_stadium_at_dusk__Ontario__Canada_horiz.jpg,Toronto_cityscape_with_baseball_stadium_at_dusk__Ontario__Canada_horiz.jpg,evening,,,,,,,,,,,
evening\Trakai_Island_Castle_on_Lake_Galv__in_night__Lithuania_vert.jpg,Trakai_Island_Castle_on_Lake_Galv__in_night__Lithuania_vert.jpg,evening,,,,,,,,,,,
evening\Trees_and_sky_seen_through_cave_at_sunset__Red_Rock_State_Park__Sedona__Arizona__USA_horiz.jpg,Trees_and_sky_seen_through_cave_at_sunset__Red_Rock_State_Park__Sedona__Arizona__USA_horiz.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Trees_in_bay_at_sunset__Rainbow_Beach__Queensland__Australia_horiz.jpg,Trees_in_bay_at_sunset__Rainbow_Beach__Queensland__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Trees_on_snow_covered_winter_landscape_against_sky_during_sunset_horiz.jpg,Trees_on_snow_covered_winter_landscape_against_sky_during_sunset_horiz.jpg,evening,,,,,,,,,,,
evening\Tree_at_sunset_in_savanna_landscape__Masai_Mara_National_Reserve__Kenya_horiz.jpg,Tree_at_sunset_in_savanna_landscape__Masai_Mara_National_Reserve__Kenya_horiz.jpg,evening,,,,,,,,,,,
evening\Tree_by_the_sea_with_sky_in_sunset_colors_vert.jpg,Tree_by_the_sea_with_sky_in_sunset_colors_vert.jpg,evening,,,,,,,,,,,
evening\Tropical_islands_sunset_view_with_ocean_and_white_sand_at_Railay_Beach__Krabi__Thailand_horiz.jpg,Tropical_islands_sunset_view_with_ocean_and_white_sand_at_Railay_Beach__Krabi__Thailand_horiz.jpg,evening,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
evening\Tropical_scenery_with_palm_trees_and_mountains_at_sunset__Canary_Islands__Spain_vert.jpg,Tropical_scenery_with_palm_trees_and_mountains_at_sunset__Canary_Islands__Spain_vert.jpg,evening,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
evening\Tropical_sunset_island_beach__Virgin_Gorda__Caribbean__British_Virgin_Islands_vert.jpg,Tropical_sunset_island_beach__Virgin_Gorda__Caribbean__British_Virgin_Islands_vert.jpg,evening,,,,,,,,,,,
evening\Tropical_sunset_over_beach__Corcovado_National_Park__Osa_Peninsula__Costa_Rica_horiz.jpg,Tropical_sunset_over_beach__Corcovado_National_Park__Osa_Peninsula__Costa_Rica_horiz.jpg,evening,,,,,,,,,,,
evening\Tsing_Ma_Bridge_during_sunset__Kwai_Tsing_District__Hong_Kong_horiz.jpg,Tsing_Ma_Bridge_during_sunset__Kwai_Tsing_District__Hong_Kong_horiz.jpg,evening,,,,,,,,,,,
evening\Tulip_fields_around_Hillegom_and_Keukenhof_at_sunset__Netherlands_vert.jpg,Tulip_fields_around_Hillegom_and_Keukenhof_at_sunset__Netherlands_vert.jpg,evening,,,,,,,,,,,
evening\Tuscany_landscape_with_winding_country_road_at_sunset__Val_D__039_orcia__Italy_horiz.jpg,Tuscany_landscape_with_winding_country_road_at_sunset__Val_D__039_orcia__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Twelve_Apostles_limestone_stacks_at_sunset__Port_Campbell_National_Park__Victoria__Australia_horiz.jpg,Twelve_Apostles_limestone_stacks_at_sunset__Port_Campbell_National_Park__Victoria__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Typical_african_sunset_with_acacia_trees_and_giraffe_family_silhouette__Masai_Mara__Kenya_vert.jpg,Typical_african_sunset_with_acacia_trees_and_giraffe_family_silhouette__Masai_Mara__Kenya_vert.jpg,evening,,,,,,,,,,,
evening\T_r_Mawr_Lighthouse_at_sunset_on_Ynys_Llanddwyn_island_on_Anglesey__North_Wales__UK_vert.jpg,T_r_Mawr_Lighthouse_at_sunset_on_Ynys_Llanddwyn_island_on_Anglesey__North_Wales__UK_vert.jpg,evening,,,,,,,,,,,
evening\United_Kingdom_infrared_telescope_on_Mauna_Kea_dormant_volcano_at_sunset__Hawaii__USA_vert.jpg,United_Kingdom_infrared_telescope_on_Mauna_Kea_dormant_volcano_at_sunset__Hawaii__USA_vert.jpg,evening,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
evening\Upward_view_of_New_York_City_skyscrapers_at_dusk__New_York__USA_vert.jpg,Upward_view_of_New_York_City_skyscrapers_at_dusk__New_York__USA_vert.jpg,evening,,New York,,USA,new york,city,40.7128,-74.006,NA,gazetteer,high
evening\Valle_de_la_Luna_at_sunset__San_Pedro_de_Atacama__Atacama_Desert__Antofagasta__Chile_horiz.jpg,Valle_de_la_Luna_at_sunset__San_Pedro_de_Atacama__Atacama_Desert__Antofagasta__Chile_horiz.jpg,evening,,,,,,,,,,,
evening\Vancouver_Science_World_and_BC_Stadium_at_night__British_Columbia__Canada_horiz.jpg,Vancouver_Science_World_and_BC_Stadium_at_night__British_Columbia__Canada_horiz.jpg,evening,,,,,,,,,,,
evening\Varkala_beach_at_Laccadive_Sea_in_summer_night__Kerala__India_horiz.jpg,Varkala_beach_at_Laccadive_Sea_in_summer_night__Kerala__India_horiz.jpg,evening,,,,,,,,,,,
evening\Verdens_Ende_Lighthouse_at_sunset__Tj_me__Vestfold__Norway_vert.jpg,Verdens_Ende_Lighthouse_at_sunset__Tj_me__Vestfold__Norway_vert.jpg,evening,,,,Norway,norway,country,60.472,8.4689,EU,gazetteer,med
evening\Vernazza_illuminated_at_dusk__Riviera_di_Levante__Provinz_La_Spezia__Liguria__Italy_vert.jpg,Vernazza_illuminated_at_dusk__Riviera_di_Levante__Provinz_La_Spezia__Liguria__Italy_vert.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
